0;6,12E-28;07/11/2014; 11:39:02
1;6,12E-28;07/11/2014; 11:39:02
2;6,12E-28;07/11/2014; 11:39:22
3;6,12E-28;07/11/2014; 11:39:26
4;6,12E-28;07/11/2014; 11:39:28
5;6,12E-28;07/11/2014; 11:39:28
6;6,12E-28;07/11/2014; 11:39:28
7;6,12E-28;07/11/2014; 11:39:28
8;6,12E-28;07/11/2014; 11:39:28
9;6,12E-28;07/11/2014; 11:39:29
10;6,12E-28;07/11/2014; 11:39:29
11;6,12E-28;07/11/2014; 11:39:29
12;6,12E-28;07/11/2014; 11:39:29
13;6,12E-28;07/11/2014; 11:40:31
14;6,12E-28;07/11/2014; 11:40:33
15;6,12E-28;07/11/2014; 11:40:33
16;6,12E-28;07/11/2014; 11:40:34
17;6,12E-28;07/11/2014; 11:40:34
18;6,12E-28;07/11/2014; 11:40:34
19;6,12E-28;07/11/2014; 11:40:34
20;6,12E-28;07/11/2014; 11:40:34
21;6,12E-28;07/11/2014; 11:40:46
22;6,12E-28;07/11/2014; 11:40:47
23;6,12E-28;07/11/2014; 11:40:48
24;6,12E-28;07/11/2014; 11:40:49
25;6,12E-28;07/11/2014; 11:40:50
26;6,12E-28;07/11/2014; 11:40:51
27;6,12E-28;07/11/2014; 11:40:52
28;6,12E-28;07/11/2014; 11:40:53
29;6,12E-28;07/11/2014; 11:40:54
30;6,12E-28;07/11/2014; 11:40:55
