0, 10000.0996094, 10/12/2014, 11:36:12
1, 10000.0, 10/12/2014, 11:36:16
2, 10000.0, 10/12/2014, 11:36:17
3, 10000.0, 10/12/2014, 11:36:18
4, 10000.2998047, 10/12/2014, 11:36:23
5, 9999.70019531, 10/12/2014, 11:36:23
6, 9999.70019531, 10/12/2014, 11:36:23
7, 9999.79980469, 10/12/2014, 11:36:24
8, 10000.2001953, 10/12/2014, 11:36:24
9, 10000.2001953, 10/12/2014, 11:36:25
10, 10000.2001953, 10/12/2014, 11:36:25
11, 10000.2001953, 10/12/2014, 11:36:25
12, 10000.0996094, 10/12/2014, 11:36:25
13, 10000.0, 10/12/2014, 11:36:25
14, 10000.1201172, 10/12/2014, 11:36:41
15, 10000.0400391, 10/12/2014, 11:36:43
16, 9999.91992188, 10/12/2014, 11:36:45
17, 9999.87988281, 10/12/2014, 11:36:49
